severity,graphicId,displayName,usage,maps,impact,category,suggested,confidence,hasPreview,classicAssetPath,sourceTexturePath,sourceExt,sourceExists,sourceLoadsAsTexture,cropValid,cropInsideTexture,fallbackCandidates,issues,classificationReason
"WARNING",19876,"GRH 19876 (sin textura)",20,5,145,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",19877,"GRH 19877 (sin textura)",20,5,145,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",19879,"GRH 19879 (sin textura)",20,5,145,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",61235,"GRH 61235 (sin textura)",18,5,143,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",6496,"GRH 6496 (tex_6215.png)",16,5,141,"Grass","Grass",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6496.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.94, sat 0.72"
"WARNING",6500,"GRH 6500 (tex_6215.png)",16,5,141,"Grass","Grass",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6500.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.88, sat 0.72"
"WARNING",61630,"GRH 61630 (tex_5087.png)",16,5,141,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_61630.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 1.00, sat 0.56"
"WARNING",61631,"GRH 61631 (tex_5087.png)",16,5,141,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_61631.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 1.00, sat 0.56"
"WARNING",61634,"GRH 61634 (tex_5087.png)",16,5,141,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_61634.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.88, sat 0.56"
"WARNING",61635,"GRH 61635 (tex_5087.png)",16,5,141,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_61635.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.85, sat 0.56"
"WARNING",61638,"GRH 61638 (tex_5087.png)",16,5,141,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_61638.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.89, sat 0.56"
"WARNING",61639,"GRH 61639 (tex_5087.png)",16,5,141,"Grass","Grass",0.863,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_61639.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.27, sat 0.59"
"WARNING",61642,"GRH 61642 (tex_5087.png)",16,5,141,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_61642.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.81, sat 0.58"
"WARNING",61643,"GRH 61643 (tex_5087.png)",16,5,141,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_61643.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 1.00, sat 0.54"
"WARNING",6537,"GRH 6537 (tex_6215.png)",15,5,140,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6537.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.99, sat 0.43"
"WARNING",6504,"GRH 6504 (tex_6215.png)",14,5,139,"Grass","Grass",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6504.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.95, sat 0.72"
"WARNING",6508,"GRH 6508 (tex_6215.png)",14,5,139,"Grass","Grass",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6508.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.92, sat 0.72"
"WARNING",6488,"GRH 6488 (tex_6215.png)",13,5,138,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6488.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.97, sat 0.46"
"WARNING",6489,"GRH 6489 (tex_6215.png)",13,5,138,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6489.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 1.00, sat 0.44"
"WARNING",6490,"GRH 6490 (tex_6215.png)",13,5,138,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6490.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 1.00, sat 0.44"
"WARNING",6491,"GRH 6491 (tex_6215.png)",13,5,138,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6491.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.99, sat 0.45"
"WARNING",6492,"GRH 6492 (tex_6215.png)",13,5,138,"Grass","Grass",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6492.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.81, sat 0.69"
"WARNING",6493,"GRH 6493 (tex_6215.png)",13,5,138,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6493.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.97, sat 0.46"
"WARNING",6494,"GRH 6494 (tex_6215.png)",13,5,138,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6494.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.96, sat 0.46"
